,repo_id,count,year,community
0,74094333,1,2016,
1,76994289,2,2016,
2,74094673,2,2016,
3,74427002,8,2016,
4,73922086,12,2016,
5,75804012,29,2016,
6,74649018,54,2016,
7,75912778,62,2016,
8,75261722,92,2016,
9,76616099,332,2016,
10,65711522,4130,2016,Paddle
11,103457348,1,2017,
12,100269620,1,2017,
13,92895339,1,2017,
14,73922086,2,2017,
15,105703784,3,2017,
16,103829244,4,2017,
17,74427002,4,2017,
18,99488243,5,2017,
19,91212498,7,2017,
20,75912778,8,2017,
21,97277251,14,2017,
22,76994289,24,2017,
23,78517160,27,2017,
24,88800008,39,2017,
25,78274119,42,2017,
26,109658668,43,2017,
27,75261722,48,2017,
28,79296035,53,2017,
29,93210289,54,2017,
30,98356563,58,2017,
31,103829150,83,2017,
32,88829446,139,2017,
33,114885555,156,2017,
34,105948868,161,2017,
35,101101544,385,2017,
36,98599362,489,2017,
37,110688239,566,2017,
38,103466347,2299,2017,
39,89484677,2822,2017,
40,88868842,3946,2017,models
41,76616099,4592,2017,
42,65711522,41243,2017,Paddle
43,78517160,1,2018,
44,88829446,1,2018,
45,79296035,2,2018,
46,73922086,2,2018,
47,76994289,3,2018,
48,88800008,3,2018,
49,162672577,3,2018,PaddleHub
50,99488243,3,2018,
51,162671000,3,2018,
52,98356563,5,2018,
53,75261722,7,2018,
54,103829150,10,2018,
55,161509700,18,2018,
56,93210289,24,2018,
57,75912778,37,2018,
58,109658668,38,2018,
59,105948868,45,2018,
60,139537415,75,2018,
61,98599362,175,2018,
62,137793455,214,2018,
63,123634214,325,2018,
64,127058653,330,2018,
65,101101544,335,2018,
66,131044128,432,2018,
67,89484677,637,2018,
68,127693333,821,2018,
69,125206311,887,2018,
70,110688239,1128,2018,
71,76616099,1622,2018,
72,103466347,2017,2018,
73,133907444,2256,2018,
74,136450404,2866,2018,
75,104208128,3982,2018,
76,114885555,4380,2018,
77,88868842,5228,2018,models
78,65711522,44086,2018,Paddle
79,105948868,1,2019,
80,78274119,1,2019,
81,73922086,1,2019,
82,92895339,1,2019,
83,78517160,1,2019,
84,139537415,2,2019,
85,76994289,2,2019,
86,75261722,2,2019,
87,79296035,2,2019,
88,103829150,3,2019,
89,88800008,3,2019,
90,137793455,4,2019,
91,189339212,6,2019,
92,228297846,9,2019,
93,197501786,10,2019,
94,93210289,12,2019,
95,227347371,19,2019,
96,98599362,19,2019,
97,89484677,25,2019,
98,179445887,31,2019,
99,225549581,34,2019,
100,203736612,35,2019,
101,101101544,38,2019,
102,224622052,46,2019,
103,203899406,49,2019,
104,75912778,54,2019,
105,123634214,70,2019,
106,125206311,83,2019,
107,196743910,128,2019,
108,227880026,132,2019,
109,171811851,163,2019,
110,210873203,164,2019,
111,228290594,171,2019,PaddleSlim
112,103466347,198,2019,
113,127058653,200,2019,
114,203514079,205,2019,
115,191286408,275,2019,
116,210520127,283,2019,
117,133907444,316,2019,
118,127693333,611,2019,
119,178685945,675,2019,
120,114885555,731,2019,
121,161509700,758,2019,
122,217475193,1049,2019,PaddleDetection
123,110688239,1090,2019,
124,204380779,1177,2019,PaddleSeg
125,173032424,1254,2019,
126,76616099,1896,2019,
127,164796418,1935,2019,
128,131044128,2191,2019,
129,162672577,2993,2019,PaddleHub
130,173544440,5303,2019,
131,136450404,6294,2019,
132,104208128,6996,2019,
133,88868842,16325,2019,models
134,65711522,40926,2019,Paddle
135,189339212,1,2020,
136,88800008,1,2020,
137,179445887,3,2020,
138,125206311,4,2020,
139,137793455,4,2020,
140,101101544,5,2020,
141,98599362,6,2020,
142,75912778,8,2020,
143,224622052,8,2020,
144,203899406,13,2020,
145,103466347,19,2020,
146,302509341,48,2020,
147,171811851,52,2020,
148,133907444,55,2020,
149,203736612,59,2020,
150,289874518,72,2020,
151,319575342,75,2020,
152,296268741,77,2020,
153,240230342,120,2020,
154,123634214,126,2020,
155,225549581,132,2020,
156,321995806,137,2020,
157,227347371,143,2020,
158,274012656,158,2020,
159,196743910,176,2020,
160,227880026,225,2020,
161,244790548,253,2020,
162,210520127,303,2020,
163,89484677,304,2020,
164,261698998,306,2020,
165,259220361,384,2020,
166,312259012,385,2020,
167,264782838,388,2020,
168,127058653,423,2020,
169,127693333,428,2020,
170,250154445,462,2020,
171,276845708,510,2020,
172,203514079,545,2020,
173,243677660,676,2020,
174,314704349,687,2020,
175,233520812,692,2020,
176,228297846,745,2020,
177,210873203,890,2020,
178,110688239,920,2020,
179,76616099,1321,2020,
180,240226378,1357,2020,
181,161509700,1407,2020,
182,164796418,1508,2020,
183,191286408,1555,2020,
184,259513732,1829,2020,
185,273214029,1869,2020,PaddleGAN
186,114885555,2768,2020,
187,173544440,2897,2020,
188,251201169,3324,2020,
189,228290594,3346,2020,PaddleSlim
190,173032424,3624,2020,
191,246509073,4065,2020,
192,178685945,4352,2020,
193,204380779,4698,2020,PaddleSeg
194,131044128,4742,2020,
195,88868842,8302,2020,models
196,136450404,9880,2020,
197,162672577,10225,2020,PaddleHub
198,104208128,12991,2020,
199,217475193,14038,2020,PaddleDetection
200,262296122,19224,2020,PaddleOCR
201,65711522,69333,2020,Paddle
202,88800008,1,2021,
203,203899406,1,2021,
204,93210289,1,2021,
205,189339212,1,2021,
206,137793455,1,2021,
207,92895339,1,2021,
208,105703784,1,2021,
209,296268741,2,2021,
210,125206311,2,2021,
211,101101544,3,2021,
212,75912778,3,2021,
213,224622052,3,2021,
214,98599362,3,2021,
215,203736612,4,2021,
216,171811851,18,2021,
217,89484677,25,2021,
218,133907444,27,2021,
219,436903861,36,2021,
220,210520127,37,2021,
221,103466347,37,2021,
222,289874518,43,2021,
223,225549581,58,2021,
224,385199026,66,2021,
225,228297846,79,2021,
226,426046572,84,2021,
227,423716718,90,2021,
228,227880026,107,2021,
229,319575342,156,2021,
230,302509341,160,2021,
231,321995806,178,2021,
232,365999954,179,2021,
233,196743910,195,2021,
234,403829741,203,2021,
235,427252454,204,2021,
236,264782838,210,2021,
237,240230342,221,2021,
238,274012656,266,2021,
239,259220361,314,2021,
240,127693333,395,2021,
241,244790548,442,2021,
242,333611338,479,2021,
243,76616099,487,2021,
244,203514079,510,2021,
245,261698998,543,2021,
246,210873203,603,2021,
247,314704349,1010,2021,
248,161509700,1095,2021,
249,250154445,1166,2021,
250,240226378,1248,2021,
251,243677660,1363,2021,
252,164796418,1438,2021,
253,276845708,1446,2021,
254,173544440,1829,2021,
255,191286408,1836,2021,
256,114885555,1919,2021,
257,127058653,1973,2021,
258,383138186,2325,2021,
259,228290594,2411,2021,PaddleSlim
260,173032424,2468,2021,
261,312259012,2853,2021,
262,131044128,3013,2021,
263,227347371,3046,2021,
264,259513732,3120,2021,
265,233520812,3201,2021,
266,88868842,3548,2021,models
267,178685945,3637,2021,
268,110688239,6739,2021,
269,246509073,6795,2021,
270,136450404,7136,2021,
271,162672577,7319,2021,PaddleHub
272,204380779,8297,2021,PaddleSeg
273,273214029,8754,2021,PaddleGAN
274,251201169,9156,2021,
275,104208128,19062,2021,
276,336274588,21483,2021,PaddleNLP
277,217475193,22157,2021,PaddleDetection
278,262296122,30673,2021,PaddleOCR
279,65711522,101927,2021,Paddle
280,224622052,5,2022,
281,105703784,5,2022,
282,203736612,5,2022,
283,127693333,5,2022,
284,125206311,6,2022,
285,93210289,6,2022,
286,137793455,6,2022,
287,189339212,6,2022,
288,88800008,6,2022,
289,580415405,7,2022,
290,75912778,7,2022,
291,101101544,7,2022,
292,98599362,8,2022,
293,203899406,8,2022,
294,92895339,8,2022,
295,228297846,10,2022,
296,289874518,14,2022,
297,171811851,17,2022,
298,490292598,26,2022,
299,225549581,27,2022,
300,210520127,28,2022,
301,103466347,32,2022,
302,583199561,33,2022,
303,302509341,34,2022,
304,133907444,41,2022,
305,240230342,50,2022,
306,259220361,71,2022,
307,76616099,105,2022,
308,319575342,108,2022,
309,243677660,109,2022,
310,566306389,116,2022,
311,321995806,119,2022,
312,520095016,130,2022,
313,566237024,143,2022,
314,196743910,155,2022,
315,264782838,179,2022,
316,210873203,217,2022,
317,274012656,323,2022,
318,89484677,329,2022,
319,365999954,343,2022,
320,227880026,356,2022,
321,513505410,382,2022,
322,333611338,405,2022,
323,385199026,408,2022,
324,244790548,437,2022,
325,427252454,441,2022,
326,276845708,510,2022,
327,469388758,580,2022,
328,423716718,619,2022,
329,403829741,703,2022,
330,240226378,845,2022,
331,515526146,900,2022,
332,114885555,931,2022,
333,314704349,941,2022,
334,203514079,1022,2022,
335,562479767,1130,2022,
336,191286408,1169,2022,
337,261698998,1180,2022,
338,164796418,1182,2022,
339,426046572,1191,2022,
340,513813137,1234,2022,
341,173544440,1290,2022,
342,250154445,1349,2022,
343,475341715,1507,2022,
344,227347371,1668,2022,
345,493152580,1951,2022,
346,173032424,2089,2022,
347,246509073,2189,2022,
348,88868842,2193,2022,models
349,161509700,2200,2022,
350,178685945,2221,2022,
351,273214029,2359,2022,PaddleGAN
352,312259012,2457,2022,
353,131044128,2559,2022,
354,259513732,3297,2022,
355,296268741,3637,2022,
356,127058653,3871,2022,
357,233520812,3940,2022,
358,228290594,4463,2022,PaddleSlim
359,383138186,5127,2022,
360,162672577,6095,2022,PaddleHub
361,436903861,6261,2022,
362,251201169,7338,2022,
363,507861208,9455,2022,FastDeploy
364,136450404,9937,2022,
365,204380779,12101,2022,PaddleSeg
366,110688239,12751,2022,
367,104208128,13027,2022,
368,217475193,19631,2022,PaddleDetection
369,336274588,26249,2022,PaddleNLP
370,262296122,30137,2022,PaddleOCR
371,65711522,117765,2022,Paddle
372,289874518,1,2023,
373,228297846,1,2023,
374,101101544,1,2023,
375,203899406,1,2023,
376,127693333,1,2023,
377,224622052,1,2023,
378,103466347,1,2023,
379,580415405,2,2023,
380,240230342,2,2023,
381,98599362,4,2023,
382,302509341,6,2023,
383,490292598,7,2023,
384,75912778,7,2023,
385,171811851,14,2023,
386,225549581,14,2023,
387,259220361,19,2023,
388,133907444,19,2023,
389,566306389,25,2023,
390,210520127,28,2023,
391,319575342,34,2023,
392,321995806,39,2023,
393,243677660,54,2023,
394,469388758,55,2023,
395,89484677,56,2023,
396,196743910,59,2023,
397,520095016,59,2023,
398,244790548,62,2023,
399,427252454,65,2023,
400,76616099,87,2023,
401,276845708,120,2023,
402,210873203,144,2023,
403,566237024,149,2023,
404,227880026,181,2023,
405,274012656,184,2023,
406,264782838,195,2023,
407,423716718,207,2023,
408,365999954,208,2023,
409,596560396,218,2023,
410,240226378,258,2023,
411,385199026,270,2023,
412,164796418,272,2023,
413,314704349,311,2023,
414,261698998,315,2023,
415,203514079,316,2023,
416,250154445,322,2023,
417,191286408,369,2023,
418,403829741,369,2023,
419,178685945,382,2023,
420,333611338,427,2023,
421,88868842,452,2023,models
422,583199561,523,2023,
423,161509700,552,2023,
424,312259012,639,2023,
425,114885555,675,2023,
426,493152580,686,2023,
427,127058653,789,2023,
428,246509073,847,2023,
429,259513732,874,2023,
430,227347371,899,2023,
431,562479767,945,2023,
432,513505410,975,2023,
433,173032424,1005,2023,
434,173544440,1021,2023,
435,131044128,1026,2023,
436,228290594,1056,2023,PaddleSlim
437,513813137,1434,2023,
438,515526146,1440,2023,
439,273214029,1626,2023,PaddleGAN
440,436903861,1931,2023,
441,162672577,2174,2023,PaddleHub
442,685099320,2336,2023,
443,662392605,2342,2023,
444,475341715,2668,2023,
445,383138186,3035,2023,
446,233520812,3056,2023,
447,622926337,3292,2023,
448,251201169,3351,2023,
449,104208128,3788,2023,
450,608649692,4557,2023,
451,296268741,4684,2023,
452,426046572,6211,2023,
453,204380779,6644,2023,PaddleSeg
454,217475193,8295,2023,PaddleDetection
455,110688239,8591,2023,
456,507861208,8858,2023,FastDeploy
457,136450404,10319,2023,
458,262296122,23908,2023,PaddleOCR
459,336274588,30541,2023,PaddleNLP
460,65711522,102484,2023,Paddle
461,566237024,1,2024,
462,103466347,1,2024,
463,93210289,1,2024,
464,490292598,1,2024,
465,225549581,1,2024,
466,622926337,1,2024,
467,302509341,2,2024,
468,89484677,3,2024,
469,520095016,3,2024,
470,319575342,5,2024,
471,276845708,5,2024,
472,133907444,5,2024,
473,233520812,6,2024,
474,227880026,7,2024,
475,243677660,7,2024,
476,427252454,8,2024,
477,469388758,8,2024,
478,196743910,9,2024,
479,210873203,11,2024,
480,423716718,12,2024,
481,76616099,12,2024,
482,566306389,13,2024,
483,385199026,13,2024,
484,562479767,17,2024,
485,244790548,20,2024,
486,596560396,22,2024,
487,274012656,23,2024,
488,314704349,24,2024,
489,240226378,25,2024,
490,164796418,26,2024,
491,333611338,29,2024,
492,403829741,33,2024,
493,173032424,33,2024,
494,583199561,33,2024,
495,250154445,34,2024,
496,264782838,34,2024,
497,88868842,35,2024,models
498,114885555,47,2024,
499,191286408,54,2024,
500,131044128,74,2024,
501,515526146,86,2024,
502,173544440,96,2024,
503,161509700,98,2024,
504,246509073,107,2024,
505,513505410,147,2024,
506,203514079,165,2024,
507,259513732,174,2024,
508,261698998,187,2024,
509,493152580,190,2024,
510,227347371,196,2024,
511,127058653,213,2024,
512,436903861,217,2024,
513,162672577,254,2024,PaddleHub
514,312259012,281,2024,
515,608649692,304,2024,
516,296268741,332,2024,
517,178685945,346,2024,
518,513813137,366,2024,
519,251201169,421,2024,
520,273214029,567,2024,PaddleGAN
521,383138186,633,2024,
522,228290594,639,2024,PaddleSlim
523,685099320,780,2024,
524,204380779,846,2024,PaddleSeg
525,110688239,874,2024,
526,507861208,936,2024,FastDeploy
527,426046572,996,2024,
528,475341715,1044,2024,
529,662392605,1164,2024,
530,136450404,1455,2024,
531,217475193,1486,2024,PaddleDetection
532,104208128,1645,2024,
533,336274588,3746,2024,PaddleNLP
534,262296122,4772,2024,PaddleOCR
535,65711522,20796,2024,Paddle
